rank,year,title,keyword,author.no,affl.no,max_dist(m)
3327,1992,Absence of interspecific competition among tallgrass prairie grasshoppers during a drought,NA,1,1,0
3328,1993,Comparative water relations of seedling and adult Quercus species during gallery forest expansion in tallgrass prairie,NA,3,1,0
3329,1993,Increased photosynthesis and water potentials in Silphium integrifolium galled by cynipid wasps,Gall insect; Photosynthesis; Plant-insect interactions; Silphium integrifolium; Water potential,3,1,0
3330,1993,Biomass production in a tallgrass prairie ecosystem exposed to ambient and elevated CO2,NA,5,1,0
3331,1993,Consequences of non-equilibrium resource availability across multiple time scales: the transient maxima hypothesis,NA,2,1,0
3332,1994,Mycorrhizal dependence of Andropogon gerardii and Schizachyrium scoparium in two prairie soils,NA,3,1,0
3333,1994,Leaf-level responses to light and temperature in two co-occurring Quercus (Fagaceae ) species: implications for tree distribution patterns,Gallery forest; Light acclimation; Photosynthesis; Quercus; Tallgrass prairie; Temperature tolerance,2,1,0
3334,1994,Plant demographic responses to mycorrhizal symbiosis in tallgrass prairie,Fire; Tallgrass prairie; VA mycorrhizas Plant demography,4,2,0
3335,1994,Drought-induced nitrogen retranslocation in perennial C4 grasses of tallgrass prairie,NA,2,1,0
3336,1995,Landscape-level interactions between topoedaphic features and nitrogen limitation in tallgrass prairie,fire; NDVI; nitrogen; transect; watershed,2,1,0
3337,1995,Experimental analysis of intermediate disturbance and initial floristic composition: decoupling cause and effect,NA,3,1,0
3338,1995,Simulation of responses of community structure to species interactions driven by phenotypic change,"Competition, interspecific; Mutualism; Networks; Species interactions",2,1,0
3339,1995,Ammonia volatilization during drought in perennial C4 grasses of tallgrass prairie,Ammonia volatilization; Drought; Nitrogen Prairie grasses; Retranslocation,2,1,0
3340,1995,Spatial model error analysis using autocorrelation indices,Autocorrelation; Error analysis; Spatial patterns; Uncertainty analysis,1,1,0
3341,1995,Use of simulated herbaceous canopy by foraging rodents,NA,2,1,0
3342,1995,Temporal variation in abundance of Peromyscus leucopus in wooded habitats of eastern Kansas,NA,3,1,0
3343,1995,Effects of urine deposition on small-scale patch structure in prairie vegetation,NA,2,1,0
3344,1995,"Elemental analysis of mineral lick soils from the Serengeti National Park, the Konza Prairie and Yellowstone National Park",NA,2,1,0
3345,1996,"The ecology of a subterranean isopod, Caecidotea tridentata",NA,2,1,0
3346,1996,Plant tolerance of gall-insect attack and gall-insect performance,Antistrophus; Biomass allocation; Compensation; Cynipidae; Gall insect; Herbivory; Konza Prairie; Meristems; Parasite; Sex ratio; Silphium; Tallgrass prairie,3,1,0
3347,1996,Interference competition from House wrens as a factor in the decline of Bewick's wrens,NA,2,1,0
3348,1996,Effects of management practices on nematode community structure in tallgrass prairie,Disturbance; Fire; Mowing; Nematode; Nitrogen; Tallgrass prairie; Trophic structure,1,1,0
3349,1996,Responses of a C4 grass and three C3 forbs to variation in nitrogen and light in tallgrass prairie,Abundance and distribution of forbs; Burning regime; Forb ecophysiology; Forb morphological responses; Forb topographic position; Nitrogen and light availability; Photosynthesis; Seasonal light environments; Stomatal conductance; Tallgrass prairie,2,2,0
3350,1997,"Fire, N availability and plant response in grasslands: A test of the transient maxima hypothesis",Fire; Kansas; Konza Prairie; LTER; N cycling; Nitrogen availability; Nitrogen mineralization; Nonequilibrium dynamics; Tallgrass prairie; Transient maxima hypothesis,1,1,0
3351,1997,A case of senescence for the white-footed mouse?,NA,3,1,0
3352,1997,"Soil N and plant responses to fire, topography and supplemental N in tallgrass prairie",Fertilizer N; Fire; Grasslands; Kansas; Landscape; N mineralization; Nitrogen cycling; NPP; Tallgrass prairie; Topography,4,2,0
3353,1998,Determinants of soil CO2 flux from a sub-humid grassland: Effect of fire and fire history,Fire; Grassland; Grazing; Land management; Soil CO2 flux; Soil respiration; Tallgrass prairie,3,1,0
3354,1999,Influence of differing land management on the invasion of North American tallgrass prairie soils by European earthworms,Aporrectodea; Diplocardia; Earthworms; Fire; Invasive species,2,1,0
3355,1999,Mycorrhizae influence plant community structure and diversity in tallgrass prairie,Arbuscular mycorrhizal fungi; Community structure; Diversity; Fungicide; Grasslands; Species richness; Tallgrass prairie,2,1,0
3356,1999,Biomass production and species composition change in a tallgrass prairie ecosystem after long-term exposure to elevated atmospheric CO2,Above-ground biomass; Botanical composition; Carbon dioxide; Elevated CO2; Global climate change; Root biomass; Tallgrass prairie; Water-use efficiency,4,2,0
3357,1999,Interacting influence of mycorrhizal symbiosis and competition on plant diversity in tallgrass prairie,Arbuscular mycorrhizal fungi; Competition Diversity; Species coexistence; Tallgrass prairie,3,1,0
3358,1999,"Exotic plant species in a C4-dominated grassland: Invasibility, disturbance and community structure",Community structure; Disturbance; Exotic species; Grassland; Invasibility,2,1,0
3359,1999,Bison performance and productivity on tallgrass prairie,NA,1,1,0
3360,2000,Host plant species effects on arbuscular mycorrhizal fungal communities in tallgrass prairie,Arbuscular mycorrhizal fungi; Fungal diversity; Grasslands; Host specificity; Soil communities,3,1,0
3361,2000,Prairie vegetation and soil nutrient responses to ungulate carcasses,Carrion; Disturbance; Soil nutrients; Succession; Tallgrass prairie,1,1,0
3362,2001,Habitat patchiness and plant species richness,Biodiversity; Habitat heterogeneity; Habitat loss; Patchiness; Species richness,2,3,0
3363,2001,Frequency and extent of water limitation to primary production in a mesic temperate grassland,Andropogon gerardii; C4 grasses; Forbs; Grassland; Irrigation; Leaf water potential; Primary production; Tallgrass prairie; Water limitation,3,2,0
3364,2001,Influence of grazing by bison and cattle on deer mice in burned tallgrass prairie,NA,3,1,0
3365,2001,Responses of the co-dominant grassland species Andropogon gerardii and Sorghastrum nutans to long-term manipulations of nitrogen and water,NA,2,1,0
3366,2001,Size of the local species pool determines invasibility of a C4-dominated grassland,NA,2,1,0
3367,2002,Measurement and modeling of soil CO2 flux in a temperate grassland under mowed and burned regimes,"Carbon; Carbon budgets; Fire; Grazing; Konza Prairie, Kansas (USA); Prairie; Soil respiration; Soil-surface CO2 flux",2,2,0
3368,2002,"Clone size of Andropogon gerardii Vitman (Big Bluestem) at Konza Prairie, Kansas",NA,3,1,0
3369,2002,Biogeographic variation in nest placement: a case study with conservation implications,Bell's vireo; Conservation management; Geographical range; Habitat requirements; Nest placement; Niche,2,1,0
3370,2002,Long-term responses of the grassland co-dominants Andropogon gerardii and Sorghastrum nutans to changes in climate and management,C4 grasses; Cover; Diversity; Dominance; Fire; Tallgrass prairie,2,1,0
3371,2003,Spatial heterogeneity in the herbaceous layer of a semi-arid savanna ecosystem,Geostatistics; Laikipia; Pattern diversity; Plant community patch structure; Topography; Ungulate grazing,1,1,0
3372,2003,Use of bison wallows by anurans on Konza Prairie,NA,2,1,0
3373,2003,Consequences of shrub expansion in mesic grassland: resource alterations and graminoid responses,Cornus drummondii; Grassland recovery; Land cover change; Tall-grass prairie; Woody plant expansion,2,1,0
3374,2004,Fire effects on mycorrhizal symbiosis and root system architecture in southern African savanna grasses,Fire; Grasses; Mycorrhizas; Root architecture; Savannas,3,2,0
3375,2006,The role of seed and vegetative reproduction in plant recruitment and demography in tallgrass prairie,Fire ecology; Grassland; Rhizomes; Sexual reproduction; Survivorship,2,1,0
3376,2006,Mycorrhizal-mediated phosphorus transfer between tallgrass prairie plants Sorghastrum nutans and Artemisia ludoviciana,32P; Arbuscular mycorrhizae; Artemisia ludoviciana; Common mycorrhizal networks; Nutrient transfer; Nutrient uptake; Sorghastrum nutans; Tallgrass prairie,3,2,0
3377,2007,"Nest mate size, but not short-term need, influences begging behavior of a generalist brood parasite",Begging behavior; Begging intensity; Brown-headed cowbird; Molothrus ater; Nestling competition; Short-term need,1,1,0
3378,2007,"Seven years of enhanced water availability influences the physiological, structural and functional attributes of a soil microbial community",Microbial community; Physiology; PLFA; Stress; Substrate use efficiency; Water availability,2,2,0
3379,2008,Temporal coherence of aboveground net primary productivity in mesic grasslands,NA,2,1,0
3380,2008,Ammonium uptake and mineralization in prairie streams: chamber incubation and short-term nutrient addition experiments,Mineralization; Nitrogen; Prairie; Streams; Uptake,2,2,0
3381,2008,Long-term response patterns of tallgrass prairie to frequent summer burning,Burn season; Fire ecology; Grassland vegetation; Growing-season fire,2,2,0
3382,2009,Heteroduplex molecules cause sexing errors in a standard molecular protocol for avian sexing,2550F/2718R; Bartramia longicauda; CHD-Z; Molecular sexing; P2/P8; Upland sandpiper,4,1,0
3383,2009,Parent-absent begging in the Brown-headed Cowbird (Molothrus ater): the role of short-term need and nestmate size,Begging; Brown-headed Cowbird; Generalist brood parasite; Molothrus ater; Parent-absent begging,1,1,0
3384,2009,Hippocampal volumes and neuron numbers increase along a gradient of environmental harshness: a large-scale comparison,Black-capped chickadee; Caching; Environmental gradient; Food hoarding; Hippocampus; Neuron,2,1,0
3385,2009,High propagule production and reproductive fitness homeostasis contribute to the invasiveness of Lespedeza cuneata (Fabaceae),Cleistogamy; Fitness homeostasis; Invasive; Lespedeza; Pollination; Propagule production; Regeneration niche; Tallgrass prairie,3,2,0
3386,2010,Climate controls on grass culm production over a quarter century in a tallgrass prairie,Aboveground net primary production (anpp); Andropogon gerardii; Climate; Flowering; Konza prairie; Schizachyrium scoparium; Soil moisture; Sorghastrum nutans; Tallgrass prairie,3,1,0
3387,2010,Microbial protein in soil: influence of extraction method and C amendment on extraction and recovery,NA,2,1,0
3388,2011,Assessing fine-scale genotypic structure of a dominant species in native grasslands,NA,3,1,0
3389,2011,Historical processes and landscape context influence genetic structure in peripheral populations of the collared lizard (Crotaphytus collaris),Collared lizard; Flint Hills; Microsatellites; Tallgrass prairie,3,2,0
3390,2011,Landscape context matters: local habitat and landscape effects on the abundance and patch occupancy of collared lizards in managed grasslands,Crotaphytus collaris; Fire; Flint Hills; Grazing; Habitat suitability; Land management; Tallgrass prairie,2,1,0
3391,2011,Root dynamics of cultivar and non-cultivar population sources of two dominant grasses during initial establishment of tallgrass prairie,Cultivar; Dominant grasses; Local ecotype; Roots; Tallgrass prairie restoration,2,1,0
3392,2011,Nutrient loading and grazing by the minnow Phoxinus erythrogaster shift periphyton abundance and stoichiometry in mesocosms,Algae; Ecological stoichiometry; Fish; Nutrient cycling; Prairie streams,4,1,0
3393,2011,Vegetation responses to an animal-generated disturbance (bison wallows) in tallgrass prairie,NA,3,2,0
3394,2011,Differential responses to defoliation frequency in Little Bluestem (Schizachyrium scoparium) in tallgrass prairie: Implications for herbivory tolerance and avoidance,Bud banks; Compensation; Demography; Grasses; Grazing; Herbivory,2,1,0
3395,2011,Explaining temporal variation in above-ground productivity in a mesic grassland: the role of climate and flowering,Climate variability; Dominant species; Inflorescence; Intra-annual variation; Plant-climate interactions; Precipitation; Structural equation modelling; Tallgrass prairie; Temperature,7,1,0
3396,2011,Positive feedbacks amplify rates of woody encroachment in mesic tallgrass prairie,Andropogon gerardii; Bi-stability; Bush encroachment; Cornus drummondii; D18O; Fire; Niche-partitioning; Shrub encroachment; Source water; Tipping points; Tree-grass coexistence; Two-layer soil model,4,1,0
3397,2011,Species abundance distributions and richness estimations in fungal metagenomics - lessons learned from community ecology,ectomycorhizal fungi; fungal diversity; Glomeromycota; high-throughput parallel sequencing; microbial ecology; phyllosphere fungi,7,4,0
3398,2012,Measuring genetic diversity in ecological studies,Community diversity; Ecosystem function; Genome diversity; Phenotype; SGDC,4,1,0
3399,2012,"High richness and dense seeding enhance grassland restoration establishment, but have little effect on drought response",Climate change; Diversity; Drought; Invasive; Prairie; Priority effects; Rainfall manipulation; Recovery; Resilience; Resistance; Restoration; Stability,2,1,0
3400,2012,Recovery of native plant community characteristics on a chronosequence of restored prairies seeded into pastures in West-Central Iowa,Grassland; Invasive; Mean C; Phenology; Succession; Tallgrass,2,1,0
3401,2012,Drought-mediated stem and belowground bud dynamics in restored grasslands,Below-ground; Climate change; Community; Forb; Grass; Lag; Meristem; Plant; Prairie; Rainfall manipulation,3,1,0
3402,2012,Stability of tallgrass prairie during a 19-year increase in growing season precipitation,Andropogon gerardii; Functional traits; Panicum virgatum; Precipitation experiment; Species diversity; Tallgrass prairie,9,1,0
3403,2012,Sensitivity of mean annual primary production to precipitation,Aboveground net primary production; Climate change; Jensen's inequality; Precipitation; Primary production,3,3,0
3404,2012,"Hispid pocket mice in tallgrass prairie: abundance, seasonal activity, habitat association, and individual attributes",NA,3,1,0
3405,2012,Community stability does not preclude ecosystem sensitivity to chronic resource alteration,NA,3,2,0
3406,2012,Contrasting bud bank dynamics of two co-occurring grasses in tallgrass prairie: implications for grassland dynamics,Meristem; Photosynthetic pathway; Plant demography; Plant population dynamics; Tiller recruitment; Vegetative reproduction,2,1,0
3407,2012,The role of precipitation variability on the ecohydrology of grasslands,Land-atmosphere interactions; Low-dimensional modelling; Temporal scaling,2,1,0
3408,2012,"The expansion of woody riparian vegetation, and subsequent stream restoration, influences the metabolism of prairie streams",Macroalgae; Microalgae; Primary production; Restoration; Streams,2,1,0
3409,2013,Limited effects of dominant species population source on community composition during community assembly,Community assembly; Dominant species; Extended phenotype; Grassland; Restoration; Seed pool; Tallgrass prairie,6,1,0
3410,2013,Blazing and grazing: influences of fire and bison on tallgrass prairie stream water quality,Bison bison; Bos bison; burning; grasslands; grazers; prescribed fire; streams; tallgrass prairie; total nitrogen; total phosphorus; total suspended solids,6,2,0
3411,2013,Population origin and genome size do not impact Panicum virgatum (switchgrass) responses to variable precipitation,Climate change; Genome size; Konza Prairie; Panicum virgatum; Population-level adaptation; Water variability,4,2,0
3412,2013,Variance in mating success does not produce strong sexual selection in a polygynous songbird,Dickcissel; Extrapair fertilization; Mate choice; Opportunity for sexual selection; Selection gradient,2,1,0
3413,2013,"Positive association between social and extra-pair mating in a polygynous songbird, the dickcissel (Spiza americana)",Density; Extra-pair paternity; Female choice; Mating patterns; Polygyny; Trade offs,2,1,0
3414,2013,Temporal dynamics of plant community regeneration sources during tallgrass prairie restoration,Chronosequence; Community assembly; Diversity; Propagules; Species richness,4,1,0
3415,2014,Geographic variation in growth and phenology of two dominant Central US grasses: Consequences for climate change,grassland; phenology; productivity; traits; water stress,3,3,0
3416,2014,Resistance and resilience of a grassland ecosystem to climate extremes,Aboveground productivity; Climate extremes; Community reordering; Demographic compensation; Dominant species; Functional groups,3,1,0
3417,2014,Contrasting sensitivities of two dominant C4 grasses to heat waves and drought,Climate change; Climate extremes; Mesic grassland; Photosynthesis; Productivity,3,1,0
3418,2014,Towards a mechanistic understanding of fish species niche divergence along a river continuum,Congeners; Cyprinidae; Environmental niche modeling; Great Plains; Individual performance; Mechanistic niche modeling; Phylogenetic comparative approach,2,1,0
3419,2015,Scraping the bottom of the barrel: are rare high throughput sequences artifacts?,Fungi; High-throughput sequencing; Rare biosphere; Singleton,8,2,0
3420,2015,Vegetative reproduction and bud Bank dynamics of the perennial grass andropogon gerardii in mixed-grass and tallgrass prairie,NA,2,1,0
3421,2015,Bison foraging responds to fire frequency in nutritionally heterogeneous grassland,Fire ecology; Forage maturation hypothesis; Grassland; Grazing; Nutritional ecology; Tallgrass prairie; Transient maxima hypothesis,3,1,0
3422,2015,"Annual burning of a tallgrass prairie inhibits C and N cycling in soil, increasing recalcitrant pyrogenic organic matter storage while reducing N availability",13C; 15N; Litter decomposition; Pyrogenic organic matter; Soil organic matter; Soil organic matter fractions; Soil respiration; Tallgrass prairie,2,2,0
3423,2015,"Thermal performance of larval longfin dace (Agosia chrysogaster), with implications for climate change",Critical thermal maximum; Gila River; Growth capacity; Larval fish; Thermal acclimation,3,1,0
3424,2015,"Belowground bud bank response to grazing under severe, short-term drought",Climate change; Ecological stability; Herbivory; Tallgrass prairie; Water stress,2,1,0
3425,2015,"Woody plant encroachment, and its removal, impact bacterial and fungal communities across stream and terrestrial habitats in a tallgrass prairie ecosystem",Bacterial communities; Fungal communities; Land-water interface; Tallgrass prairie; Woody encroachment,3,1,0
3426,2015,Structure of trophic and mutualistic networks across broad environmental gradients,Community stability; Complexity; Ecological gradients; Ecological networks; Mutualism; Trophic interactions,2,1,0
3427,2016,The effect of timing of growing season drought on flowering of a dominant C4 grass,Aboveground net primary productivity; Andropogon gerardii; Ecophysiology; Precipitation timing; Tallgrass prairie,2,1,0
3428,2016,Comparative ecohydrology between Cornus drummondii and Solidago canadensis in upland tallgrass prairie,Konza Prairie; Mesic grassland; Photosynthesis; Stable water isotopes; Transpiration; Woody encroachment,3,1,0
3429,2016,Patch-burn grazing increases habitat heterogeneity and biodiversity of small mammals in managed rangelands,Fire; Heterogeneity; Pyric herbivory; Rangeland management; Rodent; Tallgrass prairie,2,2,0
3430,2017,Bison increase the growth and reproduction of forbs in Tallgrass Prairie,NA,2,1,0
3431,2017,Photosynthetic responses of a dominant C4 grass to an experimental heat wave are mediated by soil moisture,Canopy temperature; Climate extremes; Drought; Ecophysiology; Tallgrass prairie,3,1,0
3432,2017,An assessment of diurnal water uptake in a mesic prairie: evidence for hydraulic lift?,Hydraulic lift; Nocturnal transpiration; Stable isotopes; Tallgrass prairie; Water potential,2,1,0
3433,2017,Testing metabolic cold adaptation as a driver of warm-water fish species replacement along the river continuum,Community turnover; Larval development rate; Pimephales; Species replacements; Thermal adaptation; Thermal reaction norm,2,1,0
3434,2018,Gene expression differs in codominant prairie grasses under drought,Andropogon gerardii; C4 grass; comparative expression; dominant species; RNA-seq; Sorghastrum nutans,2,1,0
3435,2018,Interannual variability in climate effects on community assembly and ecosystem functioning in restored prairie,deterministic processes; diversity; prairie; productivity; restoration; stochastic processes,2,1,0
3436,2018,"Degraded soil increases the performance of a dominant grass, Andropogon gerardii (Big bluestem)",Microbial biomass; Nitrogen; Phospholipid fatty acids; Phosphorus; Plant–soil interactions; Prairie; Restoration; Soil structure,2,1,0
3437,1992,The influence of deer browsing on the reproductive biology of Canada yew (Taxus canadensis marsh.) : III. Sex expression,Gerder; Herbivory; Odocoileus; Sex expression; Taxus,1,1,0
3438,2008,Patterns in bird community structure related to restoration of Minnesota dry oak savannas and across a prairie to oak woodland ecological gradient,Alternative stable states; Bird communities; Fire; Habitat restoration; Oak savanna,3,3,0
3439,2007,Lack of correspondence between genetic and phenotypic groups amongst soil-borne streptomycetes,16S rRNA gene; Antibiotic inhibition; Antibiotic resistance; BOX-PCR; Local selection; Streptomyces,3,3,0
3440,2015,Food-web composition and plant diversity control foliar nutrient content and stoichiometry,Carbon; Foliar fungi; Functional group; Grassland; Insects; Legumes; Nitrogen; Phosphorus; Plant population and community dynamics; Productivity,7,4,0
3441,1995,Direct and Indirect Effects of Prior Grazing of Goldenrod Upon the Performance of a Leaf Beetle,NA,2,1,0
3442,2015,A sustainability framework for assessing trade-offs in ecosystem services,Dynamics; Ecosystem services; Efficiency frontier; Management constraints; Preferences; Stakeholders; Time lags; Trade-offs,4,6,0
3443,2009,Long-lasting effects on nitrogen cycling 12 years after treatments cease despite minimal long-term nitrogen retention,Eutrophication; netN mineralization; Nitrogendeposition; Nretention; Recovery,4,3,0
3444,2010,"Recovery of plant diversity following N cessation: effects of recruitment, litter, and elevated N cycling",Carbon addition; Diversity; Grassland; Invasion; Litter inhibition; Nitrogen deposition; Prairie restoration; Recovery; Recruitment limitation,2,2,0
3445,2015,Soil Microbial Communities are Shaped by Plant-Driven Changes in Resource Availability During Secondary Succession,"Cedar creek reserve, Minnesota, USA; Metagenomics; Microbial community assembly; Old field; Secondary succession; Soil",2,2,0
3446,2007,Measures of the effects of agricultural practices on ecosystem services,Agriculture; Chemical; Ecosystem services; Erosion; Land use,2,2,0
3447,2001,Experimental support for a resource-based mechanistic model of invasibility,Biological invasions; Competition; Invasibility; Invasions; Plant invasions; Resource availability; Resources,2,1,0
3448,1991,Survivorship of penstemon grandiflorus in an oak woodland: combined effects of fire and pocket gophers,Disturbance; Fire; Geomys bursarius; Penstemon grandiflorus,5,1,0
3449,1999,"Survival, growth, and photosynthesis of tree seedlings competing with herbaceous vegetation along a water-light-nitrogen gradient",Competition; Grasslands; Savannas; Semi-arid environments; Soil water; Tree seedling establishment,6,2,0
3450,2005,Non-Indigenous Grasses Impede Woody Succession,Old fields; Quercus; Resource availability; Succession; Woody seedling establishment,6,1,0
3451,2018,"Savanna Restoration Using Fire Benefits Birds Utilizing Dead Trees, Up to a Point",NA,2,1,0
3452,2007,Elevated atmospheric CO2: A nurse plant substitute for oak seedlings establishing in old fields,Drought; Elevated CO2; FACE; Grasslands; Old fields; Quercus; Succession; Woody encroachment,6,2,0
3453,2005,Spatially disjunct effects of co-occurring competition and facilitation,Community ecology; Competition; Density; Facilitation; Mycorrhiza; Plant interactions; Quercus macrocarpa Michaux (bur oak); Seedling establishment; Shade; Symbiosis,4,4,0
3454,2004,Nitrogen deposition and plant species interact to influence soil carbon stabilization,Carbon isotopes; Elevated CO2; Grassland species; Humification; Lignin; Nitrogen isotopes; Root litter; Soil carbon sequestration; Soil organic matter decomposition,4,3,0
3455,2007,"Plant diversity, CO2, and N influence inorganic and organic N leaching in grasslands",Dissolved inorganic nitrogen; Dissolved organic nitrogen; Drainage; Elevated CO2; Grassland; Leaching; Lysimeter; Nitrogen deposition; Nitrogen loss; Plant species richness,5,3,0
3456,2006,Tree patches show greater N losses but maintain higher soil N availability than grassland patches in a frequently burned oak savanna,Cedar creek; Dissolved organic N (DON); Grasses; N leaching; N volatilization; Net N mineralization; Oak savanna; Prescribed fires; Total soil N; Trees,4,3,0
3457,2005,"Pathways in old-field succession to white pine: Seed rain, shade, and climate effects",Climate fluctuations; Forest edge; Forest-prairie ecotone; Invasion; Old field; Pinus strobus; Recruitment pulse; Savanna; Seed dispersal; Succession; White pine,3,1,0
3458,2005,Diversity decreases invasion via both sampling and complementarity effects,Biodiversity; C4 grass; Complementarity; Invasion; Nitrogen; Sampling effect; Species diversity; Underyielding,2,2,0
3459,2005,Niche differences in phenology and rooting depth promote coexistence with a dominant C-4 bunchgrass,Invasion; Nitrate; Nitrogen; Resource competition; Spatiotemporal,2,1,0
3460,2006,Plant species traits and capacity for resource reduction predict yield and abundance under competition in nitrogen-limited grassland,R*; Resource competition; Root length density; Soil nitrate; Tissue nitrogen,2,2,0
3461,2011,Plant effects on soil N mineralization are mediated by the composition of multiple soil organic fractions,Ecosystem process; Nitrogen cycling; Soil density fractionation; Soil organic matter,6,6,0
3462,1994,Temporal Variation in Actual Evapotranspiration of Terrestrial Ecosystems - Patterns and Ecological Implications,NA,2,1,0
3463,2001,Contrasting effects of plant richness and composition on insect communities: a field experiment,Abundance; Composition; Diversity; Functional groups; Insects; Species richness,5,1,0
3464,2005,Contrasting effects of substrate and fertilizer nitrogen on the early stages of litter decomposition,Decomposition; Fertilization; Litter; Minnesota; Nitrogen; Nutrient limitation,1,1,0
3465,2008,Nitrogen effects on decomposition: A five-year experiment in eight temperate sites,Decomposition; Forest; Grassland; Immobilization; Lignin; Minnesota; Nitrogen; USA,1,1,0
3466,2012,Response of decomposing litter and its microbial community to multiple forms of nitrogen enrichment,"Cedar creek ecosystem science reserve, minnesota; Extracellular enzyme activity; Lignin; Litter decomposition; Long-term ecological research site; Nitrogen; Northern pin oak; Phospholipid fatty acids; Quercus ellipsoidalis",6,2,0
3467,1994,Simple Rules for Interspecific Dominance in Systems with Exploitative and Apparent Competition,NA,3,1,0
3468,1998,Species-area curves and estimates of total species richness in an old-field chronosequence,Cedar Creek; Diversity; Succession,1,1,0
3469,1987,"Pocket gophers (Geomys bursarius), vegetation, and soil nitrogen along a successional sere in east central Minnesota",Geomys; Gopher mounds; Soil nitrogen; Succession,4,1,0
3470,1995,Convergence and Divergence of Old-Field Vegetation after 11 Yr of Nitrogen Addition,NA,2,1,0
3471,1987,Old-Field Succession on a Minnesota Sand Plain,NA,6,1,0
3472,1993,Can Fertilization of Soil Select Less Mutualistic Mycorrhizae?,NA,1,1,0
3473,1992,Plant and Soil Controls on Mycorrhizal Fungal Communities,NA,3,1,0
3474,2003,"Interactions among mycorrhizae, atmospheric CO2 and soil N impact plant community composition",Arbuscular mycorrhizae; CO2 enrichment; Community composition; Evapotranspiration; Grassland; Mesocosm; Mycotrophy; Nitrogen eutrophication,3,1,0
3475,1991,Dynamics of vesicular-arbuscular mycorrhizae during old field succession,Infectivity; Old field succession; Spore populations; VA-mycorrhizae,4,3,0
3476,2008,Long-term burning interacts with herbivory to slow decomposition,Afterlife effects; Aphid herbivory; Corythuca arcuata; Decomposition; Fire; Hoplochaithropsus quercicola; Lace bug herbivory; Lignin; Nitrogen cycling; Oak savanna; Phenolics; Quercus macrocarpa,3,2,0
3477,2009,Effects of Long-Term Nitrogen Addition on Microbial Enzyme Activity in Eight Forested and Grassland Sites: Implications for Litter and Soil Organic Matter Decomposition,Decomposition; Extracellular enzymes; Fertilization; Litter; Microbes; Minnesota; Nitrogen; Soil respiration,3,1,0
3478,2015,"Trade-offs in ecosystem services and varying stakeholder preferences: evaluating conflicts, obstacles, and opportunities",Biophysical constraint; Conflict; Ecosystem service; Human values; Participatory tool; Production possibility frontier; Sustainability; Trade-off; Utility,5,6,0
3479,2006,Fire does not alter vegetation in infertile prairie,Fire; Net primary productivity; Nitrogen; Old field; Prairie; Vegetation composition,1,1,0
3480,2007,"The impact of elevated CO2, increased nitrogen availability and biodiversity on plant tissue quality and decomposition",Biodiversity; Decomposition; Elevated CO2; FACE; Litter chemistry; Litter quality; Nitrogen fertilization; Plant chemistry; Plant quality,3,3,0
3481,2000,Specific leaf area along a nitrogen fertilization gradient,NA,2,1,0
3482,2000,Dynamics of soil nitrogen and carbon accumulation for 61 years after agricultural abandonment,Abandoned fields; Carbon cycling; Carbon: nitrogen ratio; Nitrogen cycling; Old fields; Soil organic matter; Succession,2,2,0
3483,2001,Biodiversity and decomposition in experimental grassland ecosystems,Biodiversity; Decomposition; Mixed litterbags; Nitrogen cycling,3,3,0
3484,2008,"Direct and indirect effects of CO2, nitrogen, and community diversity on plant-enemy interactions",Carbon dioxide; Disease; Diversity; Herbivory; Lespedeza capitata; Nitrogen deposition; Plant-herbivore; Plant-pathogen; Resource availability,5,4,0
3485,2008,Nitrogen limitation of net primary productivity in terrestrial ecosystems is globally distributed,Carbon; Meta-analysis; Net primary production; Nitrogen; Nitrogen deposition; Nitrogen fertilization; Resource limitation,2,2,0
3486,2011,"Photosynthetic responses of 13 grassland species across 11 years of free-air CO2 enrichment is modest, consistent and independent of N supply",BioCON; Cedar Creek; CO2 by N effects; Elevated CO2; Functional groups; Global change; Grassland species; Leaf-level physiology; Photosynthesis; Photosynthetic acclimation,3,2,0
3487,2008,Environmental and developmental controls on specific leaf area are little modified by leaf allometry,Environmental change; Functional response; Leaf size; LMA; Ontogeny,4,4,0
3488,2003,Trophic control of grassland production and biomass by pathogens,Community structure; Disease; Ecosystem processes; Host-pathogen; Net primary production; Parasites; Productivity; Top-down; Trophic regulation; Trophic structure,1,2,0
3489,2002,"Effects of grassland plant species diversity, abundance, and composition on foliar fungal disease",Biodiversity and ecosystem functioning; Functional composition; Fungal pathogens; Global change; Habitat simplification; Host density; Macroecology; Parasites; Plant community; Plant pathogens; Polyculture vs. monoculture; Species richness,3,3,0
3490,2003,Phoenix clones: recovery after long-term defoliation-induced dormancy,Clone; Defoliation; Drought-induced dormancy; Prolonged dormancy; RAPDs; Solidago,2,2,0
3491,2000,Plant diversity increases resistance to invasion in the absence of covarying extrinsic factors,NA,6,1,0
3492,2009,"A global study of relationships between leaf traits, climate and soil measures of nutrient fertility",Ecosystem functioning; Irradiance; Leaf traits; N mineralization; Potential evapotranspiration; Rainfall; Soil C:N; Soil N; Soil P; Temperature,6,4,0
3493,1994,Limiting Similarity in Mechanistic and Spatial Models of Plant Competition in Heterogeneous Environments,NA,2,1,0
3494,2001,Prescribed fire in oak savanna: Fire frequency effects on stand structure and dynamics,Fire frequency; LTER; Oak savanna; Oak woodland; Prescribed burning; Quercus ellipsoidalis; Quercus macrocarpa; Restoration; Stand dynamics; Stand structure,2,1,0
